"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","192.168.129.132","192.168.129.2","DNS","74","Standard query 0x6bcb A www.mako.co.il"
"2","0.000603610","192.168.129.132","192.168.129.2","DNS","74","Standard query 0x85c1 HTTPS www.mako.co.il"
"3","0.005975867","192.168.129.2","192.168.129.132","DNS","211","Standard query response 0x85c1 HTTPS www.mako.co.il CNAME wilcard.mako.co.il.edgekey.net CNAME e974.b.akamaiedge.net SOA n0b.akamaiedge.net"
"4","0.006312446","192.168.129.2","192.168.129.132","DNS","166","Standard query response 0x6bcb A www.mako.co.il CNAME wilcard.mako.co.il.edgekey.net CNAME e974.b.akamaiedge.net A 23.56.225.242"
"5","0.012358515","192.168.129.132","23.56.225.242","TCP","74","44326  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3058958283 TSecr=0 WS=128"
"6","0.012950411","192.168.129.132","23.56.225.242","TCP","74","44342  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3058958283 TSecr=0 WS=128"
"7","0.059977810","23.56.225.242","192.168.129.132","TCP","60","443  >  44342 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"8","0.059977979","23.56.225.242","192.168.129.132","TCP","60","443  >  44326 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"9","0.060146447","192.168.129.132","23.56.225.242","TCP","54","44342  >  443 [ACK] Seq=1 Ack=1 Win=64240 Len=0"
"10","0.060274595","192.168.129.132","23.56.225.242","TCP","54","44326  >  443 [ACK] Seq=1 Ack=1 Win=64240 Len=0"
"11","0.061159871","192.168.129.132","23.56.225.242","TLSv1.3","2081","Client Hello (SNI=www.mako.co.il)"
"12","0.061508270","23.56.225.242","192.168.129.132","TCP","60","443  >  44342 [ACK] Seq=1 Ack=1461 Win=64240 Len=0"
"13","0.061508360","23.56.225.242","192.168.129.132","TCP","60","443  >  44342 [ACK] Seq=1 Ack=2028 Win=64240 Len=0"
"14","0.061817329","192.168.129.132","23.56.225.242","TLSv1.3","2081","Client Hello (SNI=www.mako.co.il)"
"15","0.062019782","23.56.225.242","192.168.129.132","TCP","60","443  >  44326 [ACK] Seq=1 Ack=1461 Win=64240 Len=0"
"16","0.062019999","23.56.225.242","192.168.129.132","TCP","60","443  >  44326 [ACK] Seq=1 Ack=2028 Win=64240 Len=0"
"17","0.167311011","23.56.225.242","192.168.129.132","TLSv1.3","318","Server Hello, Change Cipher Spec, Encrypted Extensions, Finished"
"18","0.167418454","192.168.129.132","23.56.225.242","TCP","54","44326  >  443 [ACK] Seq=2028 Ack=265 Win=63976 Len=0"
"19","0.168375981","192.168.129.132","23.56.225.242","TLSv1.3","134","Change Cipher Spec, Finished"
"20","0.168696865","23.56.225.242","192.168.129.132","TCP","60","443  >  44326 [ACK] Seq=265 Ack=2108 Win=64240 Len=0"
"21","0.171164192","192.168.129.132","23.56.225.242","HTTP2","146","Magic, SETTINGS[0], WINDOW_UPDATE[0]"
"22","0.171427574","23.56.225.242","192.168.129.132","TCP","60","443  >  44326 [ACK] Seq=265 Ack=2200 Win=64240 Len=0"
"23","0.171615771","192.168.129.132","23.56.225.242","HTTP2","888","HEADERS[1]: GET /mako-vod-keshet/parliament"
"24","0.171919236","23.56.225.242","192.168.129.132","TCP","60","443  >  44326 [ACK] Seq=265 Ack=3034 Win=64240 Len=0"
"25","0.182719670","23.56.225.242","192.168.129.132","TLSv1.3","318","Server Hello, Change Cipher Spec, Encrypted Extensions, Finished"
"26","0.182795402","192.168.129.132","23.56.225.242","TCP","54","44342  >  443 [ACK] Seq=2028 Ack=265 Win=63976 Len=0"
"27","0.184252223","192.168.129.132","23.56.225.242","TLSv1.3","134","Change Cipher Spec, Finished"
"28","0.184693901","23.56.225.242","192.168.129.132","TCP","60","443  >  44342 [ACK] Seq=265 Ack=2108 Win=64240 Len=0"
"29","0.215794540","23.56.225.242","192.168.129.132","TLSv1.3","341","New Session Ticket"
"30","0.229905017","23.56.225.242","192.168.129.132","TLSv1.3","341","New Session Ticket"
"31","0.256411841","192.168.129.132","23.56.225.242","TCP","54","44326  >  443 [ACK] Seq=3034 Ack=552 Win=63976 Len=0"
"32","0.261241327","23.56.225.242","192.168.129.132","HTTP2","146","SETTINGS[0]"
"33","0.261373662","192.168.129.132","23.56.225.242","TCP","54","44326  >  443 [ACK] Seq=3034 Ack=644 Win=63976 Len=0"
"34","0.261692157","192.168.129.132","23.56.225.242","HTTP2","85","SETTINGS[0]"
"35","0.262108478","23.56.225.242","192.168.129.132","TCP","60","443  >  44326 [ACK] Seq=644 Ack=3065 Win=64240 Len=0"
"36","0.270326433","192.168.129.132","23.56.225.242","TCP","54","44342  >  443 [ACK] Seq=2108 Ack=552 Win=63976 Len=0"
"37","0.432262038","23.56.225.242","192.168.129.132","HTTP2","17798","DATA[1]"
"38","0.432402473","192.168.129.132","23.56.225.242","TCP","54","44326  >  443 [ACK] Seq=3065 Ack=18388 Win=65535 Len=0"
"39","0.435070483","23.56.225.242","192.168.129.132","TLSv1.3","2169","DATA[1] (text/html)"
"40","0.435127346","192.168.129.132","23.56.225.242","TCP","54","44326  >  443 [ACK] Seq=3065 Ack=20503 Win=65535 Len=0"
"41","0.609816051","192.168.129.132","192.168.129.2","DNS","74","Standard query 0x581b A rcs.mako.co.il"
"42","0.610468785","192.168.129.132","192.168.129.2","DNS","74","Standard query 0xda43 HTTPS rcs.mako.co.il"
"43","0.617060114","192.168.129.2","192.168.129.132","DNS","166","Standard query response 0x581b A rcs.mako.co.il CNAME wilcard.mako.co.il.edgekey.net CNAME e974.b.akamaiedge.net A 23.56.225.242"
"44","0.617060287","192.168.129.2","192.168.129.132","DNS","211","Standard query response 0xda43 HTTPS rcs.mako.co.il CNAME wilcard.mako.co.il.edgekey.net CNAME e974.b.akamaiedge.net SOA n0b.akamaiedge.net"
"45","0.618784499","192.168.129.132","23.56.225.242","HTTP2","526","HEADERS[3]: GET /mako-vod/_next/static/css/b8722c3c09620fe9.css"
"46","0.619119691","192.168.129.132","23.56.225.242","HTTP2","222","HEADERS[5]: GET /mako-vod/_next/static/media/plus.a635e74d.png"
"47","0.619719504","23.56.225.242","192.168.129.132","TCP","60","443  >  44326 [ACK] Seq=20503 Ack=3537 Win=64240 Len=0"
"48","0.619719952","23.56.225.242","192.168.129.132","TCP","60","443  >  44326 [ACK] Seq=20503 Ack=3705 Win=64240 Len=0"
"49","0.619829058","192.168.129.132","192.168.129.2","DNS","74","Standard query 0xd678 A img.mako.co.il"
"50","0.620046356","192.168.129.132","192.168.129.2","DNS","74","Standard query 0x3b56 HTTPS img.mako.co.il"
"51","0.625433222","192.168.129.132","23.56.225.242","HTTP2","180","HEADERS[7]: GET /js/domo/domo-1.0.0.js"
"52","0.626033568","23.56.225.242","192.168.129.132","TCP","60","443  >  44326 [ACK] Seq=20503 Ack=3831 Win=64240 Len=0"
"53","0.628630695","192.168.129.2","192.168.129.132","DNS","211","Standard query response 0x3b56 HTTPS img.mako.co.il CNAME wilcard.mako.co.il.edgekey.net CNAME e974.b.akamaiedge.net SOA n0b.akamaiedge.net"
"54","0.628630787","192.168.129.2","192.168.129.132","DNS","169","Standard query response 0xd678 A img.mako.co.il CNAME wilcard.mako.co.il.edgekey.net CNAME e974.b.akamaiedge.net A 23.56.225.242"
"55","0.631066656","192.168.129.132","23.56.225.242","HTTP2","151","HEADERS[9]: GET /2024/10/10/logo-12-desktop.png"
"56","0.631687589","23.56.225.242","192.168.129.132","TCP","60","443  >  44326 [ACK] Seq=20503 Ack=3928 Win=64240 Len=0"
"57","0.949812782","23.56.225.242","192.168.129.132","HTTP2","3342","HEADERS[3]: 200 OK"
"58","0.949915041","192.168.129.132","23.56.225.242","TCP","54","44326  >  443 [ACK] Seq=3928 Ack=23791 Win=65535 Len=0"
