"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","192.168.129.132","192.168.129.2","DNS","70","Standard query 0x2708 A mako.co.il"
"2","0.000250300","192.168.129.132","192.168.129.2","DNS","70","Standard query 0x3450 AAAA mako.co.il"
"3","0.003353063","192.168.129.132","192.168.129.2","DNS","70","Standard query 0xe4fe HTTPS mako.co.il"
"4","0.006740657","192.168.129.2","192.168.129.132","DNS","127","Standard query response 0x3450 AAAA mako.co.il SOA ns1.bezeqint.net"
"5","0.006740828","192.168.129.2","192.168.129.132","DNS","86","Standard query response 0x2708 A mako.co.il A 66.22.84.55"
"6","0.009015184","192.168.129.2","192.168.129.132","DNS","127","Standard query response 0xe4fe HTTPS mako.co.il SOA ns1.bezeqint.net"
"7","0.012118401","192.168.129.132","192.168.129.2","DNS","70","Standard query 0xfb50 AAAA mako.co.il"
"8","0.018400019","192.168.129.2","192.168.129.132","DNS","127","Standard query response 0xfb50 AAAA mako.co.il SOA ns1.bezeqint.net"
"9","0.582342950","192.168.129.132","192.168.129.2","DNS","74","Standard query 0xb67b A www.mako.co.il"
"10","0.587965846","192.168.129.2","192.168.129.132","DNS","166","Standard query response 0xb67b A www.mako.co.il CNAME wilcard.mako.co.il.edgekey.net CNAME e974.b.akamaiedge.net A 23.56.225.242"
"11","0.597435919","192.168.129.132","23.56.225.242","TCP","74","47500  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=102856103 TSecr=0 WS=128"
"12","0.642750182","23.56.225.242","192.168.129.132","TCP","60","443  >  47500 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"13","0.642849566","192.168.129.132","23.56.225.242","TCP","54","47500  >  443 [ACK] Seq=1 Ack=1 Win=64240 Len=0"
"14","0.643704024","192.168.129.132","23.56.225.242","TLSv1.3","1953","Client Hello (SNI=www.mako.co.il)"
"15","0.644525444","23.56.225.242","192.168.129.132","TCP","60","443  >  47500 [ACK] Seq=1 Ack=1461 Win=64240 Len=0"
"16","0.644525974","23.56.225.242","192.168.129.132","TCP","60","443  >  47500 [ACK] Seq=1 Ack=1900 Win=64240 Len=0"
"17","0.735874034","23.56.225.242","192.168.129.132","TLSv1.3","4054","Server Hello, Change Cipher Spec, Encrypted Extensions, Certificate, Certificate Verify, Finished"
"18","0.735934601","192.168.129.132","23.56.225.242","TCP","54","47500  >  443 [ACK] Seq=1900 Ack=4001 Win=65535 Len=0"
"19","0.742524053","192.168.129.132","23.56.225.242","TLSv1.3","134","Change Cipher Spec, Finished"
"20","0.743104915","23.56.225.242","192.168.129.132","TCP","60","443  >  47500 [ACK] Seq=4001 Ack=1980 Win=64240 Len=0"
"21","0.743259815","192.168.129.132","23.56.225.242","HTTP2","146","Magic, SETTINGS[0], WINDOW_UPDATE[0]"
"22","0.743358725","192.168.129.132","23.56.225.242","HTTP2","461","HEADERS[3]: GET /mako-vod-keshet/parliament, WINDOW_UPDATE[3]"
"23","0.743510128","23.56.225.242","192.168.129.132","TCP","60","443  >  47500 [ACK] Seq=4001 Ack=2072 Win=64240 Len=0"
"24","0.743510286","23.56.225.242","192.168.129.132","TCP","60","443  >  47500 [ACK] Seq=4001 Ack=2479 Win=64240 Len=0"
"25","0.797562761","23.56.225.242","192.168.129.132","TLSv1.3","628","New Session Ticket, New Session Ticket"
"26","0.832944448","23.56.225.242","192.168.129.132","HTTP2","146","SETTINGS[0]"
"27","0.833018801","192.168.129.132","23.56.225.242","TCP","54","47500  >  443 [ACK] Seq=2479 Ack=4667 Win=65535 Len=0"
"28","0.833229875","192.168.129.132","23.56.225.242","HTTP2","85","SETTINGS[0]"
"29","0.833483914","23.56.225.242","192.168.129.132","TCP","60","443  >  47500 [ACK] Seq=4667 Ack=2510 Win=64240 Len=0"
"30","1.047969684","23.56.225.242","192.168.129.132","HTTP2","11992","DATA[3]"
"31","1.048095301","192.168.129.132","23.56.225.242","TCP","54","47500  >  443 [ACK] Seq=2510 Ack=16605 Win=65535 Len=0"
"32","1.049353207","23.56.225.242","192.168.129.132","TCP","2958","443  >  47500 [PSH, ACK] Seq=16605 Ack=2510 Win=64240 Len=2904 [TCP PDU reassembled in 36]"
"33","1.049353775","23.56.225.242","192.168.129.132","TCP","2958","443  >  47500 [PSH, ACK] Seq=19509 Ack=2510 Win=64240 Len=2904 [TCP PDU reassembled in 36]"
"34","1.049497132","192.168.129.132","23.56.225.242","TCP","54","47500  >  443 [ACK] Seq=2510 Ack=19509 Win=65535 Len=0"
"35","1.049646370","192.168.129.132","23.56.225.242","TCP","54","47500  >  443 [ACK] Seq=2510 Ack=22413 Win=65535 Len=0"
"36","1.052041437","23.56.225.242","192.168.129.132","TLSv1.3","2171","DATA[3] (text/html)"
"37","1.052172098","192.168.129.132","23.56.225.242","TCP","54","47500  >  443 [ACK] Seq=2510 Ack=24530 Win=65535 Len=0"
"38","1.230085956","192.168.129.132","192.168.129.2","DNS","74","Standard query 0xab4b A rcs.mako.co.il"
"39","1.230416977","192.168.129.132","192.168.129.2","DNS","74","Standard query 0x3e0f AAAA rcs.mako.co.il"
"40","1.237047702","192.168.129.2","192.168.129.132","DNS","166","Standard query response 0xab4b A rcs.mako.co.il CNAME wilcard.mako.co.il.edgekey.net CNAME e974.b.akamaiedge.net A 23.56.225.242"
"41","1.238144581","192.168.129.132","23.56.225.242","HTTP2","555","HEADERS[5]: GET /mako-vod/_next/static/css/b8722c3c09620fe9.css, WINDOW_UPDATE[5]"
"42","1.238578978","192.168.129.2","192.168.129.132","DNS","211","Standard query response 0x3e0f AAAA rcs.mako.co.il CNAME wilcard.mako.co.il.edgekey.net CNAME e974.b.akamaiedge.net SOA n0b.akamaiedge.net"
