No.,Time,Length
1,0,83
2,0.000942775,83
3,0.005410967,132
4,0.006948733,181
5,0.007620304,90
6,0.012913469,74
7,0.013171687,155
8,0.01917197,60
9,0.019264782,54
10,0.020293456,2143
11,0.020768715,60
12,0.020768921,60
13,0.088665549,266
14,0.088714609,54
15,0.093224781,118
16,0.093661416,60
17,0.093801347,146
18,0.094090707,60
19,0.094463868,509
20,0.094697376,60
21,0.098623297,672
22,0.099197176,85
23,0.099875756,60
24,0.10876211,85
25,0.149517697,54
26,0.160204602,456
27,0.160402717,54
28,0.161536583,93
29,0.162168541,60
30,0.170122741,941
31,0.170698684,60
32,5.233654476,264
33,5.234308361,93
34,5.234636191,60
35,5.23614064,89
36,5.236512607,60
37,6.244210189,159
38,6.244907046,60
39,6.305116529,136
40,6.306027367,93
41,6.306540689,60
42,6.312467849,156
43,6.313080624,60
44,8.536597108,137
45,8.536934071,7354
46,8.53700297,60
47,8.537010495,68
48,8.537320506,60
49,8.537320618,60
50,8.537320643,60
51,8.537320668,60
52,8.537665816,60
53,8.537665955,60
54,8.54335375,93
55,8.584452436,54
56,8.63132666,137
57,8.631456039,54
58,8.633877211,93
59,8.634295035,60
60,10.73104387,83
61,10.7317542,83
62,10.73975625,158
63,10.73975691,207
64,10.74098523,90
65,10.74697745,74
66,10.74738415,155
67,10.75229275,60
68,10.75235083,54
69,10.75298324,2175
70,10.75379843,60
71,10.75379883,60
72,10.81805101,266
73,10.81820524,54
74,10.82339035,118
75,10.82393109,146
76,10.82427164,60
77,10.82427172,60
78,10.82462267,3184
79,10.82510768,60
80,10.82510798,60
81,10.82510802,60
82,10.8303632,703
83,10.83104919,85
84,10.83160645,60
85,10.89010922,569
86,10.89075239,93
87,10.89128876,60
88,10.90540358,3631
89,10.90609277,60
90,10.9060932,60
91,10.90609328,60
92,11.00267759,801
93,11.00267822,93
94,11.00312008,54
95,11.00404485,93
96,11.00450834,60
97,11.37511249,217
98,11.37638376,93
99,11.3768818,60
100,11.38058405,89
101,11.38105792,60
