No.,Time,Length
1,0,3632
2,0.000741296,60
3,0.000741499,60
4,0.001063445,60
5,0.078796064,194
6,0.080171762,93
7,0.08082375,60
8,0.206742689,3168
9,0.206997303,3844
10,0.207306097,60
11,0.207306401,60
12,0.207306441,60
13,0.207646952,60
14,0.207647275,60
15,0.20764737,60
16,0.317242296,1899
17,0.31768032,54
18,0.319090169,124
19,0.32005074,93
20,0.320723616,60
21,0.323638522,89
22,0.323995769,60
23,0.410918512,126
24,0.411642844,60
25,0.474373659,451
26,0.47782263,124
27,0.478291201,54
28,0.478865148,93
29,0.479351944,60
30,0.532921627,3219
31,0.533296871,6335
32,0.533724486,60
33,0.533724798,60
34,0.533724843,60
35,0.535566783,60
36,0.535567271,60
37,0.535567305,60
38,0.535567339,60
39,0.535567372,60
40,0.595539536,3219
41,0.595997438,1402
42,0.596191472,60
43,0.596191691,60
44,0.596191728,60
45,0.596191762,60
46,0.617759836,714
47,0.619055822,93
48,0.619683313,60
49,0.672561332,714
50,0.673231091,93
51,0.673623645,60
52,0.81713699,157
53,0.817539769,60
54,0.817958632,93
55,0.81903768,60
56,0.825029968,424
57,0.825101801,54
58,0.826877114,93
59,0.827351736,93
60,0.82735211,60
61,0.832666289,89
62,0.833232198,60
63,1.552840378,2286
64,1.553258001,2090
65,1.55362455,60
66,1.553624991,60
67,1.553625055,60
68,1.553625115,60
69,1.568749513,1246
70,1.570303106,37047
71,1.572917932,54
72,1.574514997,35600
73,1.574634863,54
74,1.575082884,7114
75,1.575083212,21687
76,1.575158922,54
77,1.575494081,8073
78,1.575630277,54
79,1.580622194,39590
80,1.580939838,4290
81,1.580940322,20521
82,1.581035452,54
83,1.582269244,64293
84,1.582387418,54
85,1.583230739,9952
86,1.583362995,54
87,1.58904898,28294
88,1.589158874,11350
89,1.58947288,18410
90,1.589603267,6401
91,1.589626229,54
92,1.589889261,54
93,1.590656158,57946
94,1.590792704,6401
95,1.590820986,54
96,1.591109507,54
97,1.591577915,19972
98,1.591892484,54
99,1.838127124,2286
100,1.838719291,60
101,1.838719606,60
102,1.838772679,2090
103,1.8392301,60
104,1.839230183,60
105,1.853022359,1557
106,1.853341562,54
107,2.152290221,220
108,2.153202848,220
109,2.153327147,60
110,2.153486942,386
111,2.153525859,60
112,2.153721316,60
113,2.153731474,220
114,2.153911894,60
115,2.154008955,220
116,2.15432676,60
117,2.154352227,220
118,2.154686245,60
119,2.161427458,21349
120,2.161668268,54
121,2.16376619,24976
122,2.165849768,5817
123,2.166041954,54
124,2.168188246,37604
125,2.171247367,17113
126,2.171332267,9684
127,2.171462768,93
128,2.171832905,60
129,2.17218094,50220
130,2.173136711,54
131,2.178041959,25470
132,2.178098251,54
133,2.17826255,19822
134,2.178438624,19109
135,2.17854832,25470
136,2.178560049,54
137,2.179080731,22870
138,2.181301837,54
139,2.369502346,2286
140,2.369892073,2092
141,2.370143072,60
142,2.370143403,60
143,2.370143453,60
144,2.370143499,60
145,2.384924999,1525
146,2.385138493,54
147,2.386991995,31118
148,2.387112089,5702
149,2.389400852,54
150,2.390224311,22646
151,2.390365536,22246
152,2.390521748,19509
153,2.391278108,54
154,2.391708459,1779
155,2.392365069,54
156,2.39695859,42414
157,2.397031281,54
158,2.397245797,19822
159,2.397330995,2165
160,2.39777223,42414
161,2.398059565,54
162,2.398751503,31831
163,2.399794513,54
164,2.403517493,24058
165,2.403665196,54
166,2.403767835,19822
167,2.403828554,14174
168,2.403845704,54
169,2.403875649,6401
170,2.403984808,54
171,2.404140444,24058
172,2.404517855,40289
173,2.404686481,54
174,2.4054474,42758
175,2.405482308,54
176,2.411006666,39590
177,2.41116096,54
178,2.411454505,8526
179,2.411454796,15586
180,2.411529427,54
181,2.411677923,54
182,2.411788369,753
183,2.412083962,39590
184,2.412233841,54
185,2.412320436,8526
186,2.412320615,15586
187,2.412369586,54
188,2.413480436,20535
189,2.413621582,54
190,2.414289527,24058
191,2.414351804,16998
192,2.414507465,19822
193,2.414536117,54
194,2.414694433,3577
195,2.414864032,54
196,2.415129086,767
197,2.417731148,35354
198,2.417895372,54
199,2.418169936,9938
200,2.41872849,54
201,2.423822204,14174
202,2.423865103,54
203,2.423982509,7114
204,2.423982821,9938
205,2.42406665,9938
206,2.42409498,54
207,2.424609049,8526
208,2.424609261,21234
209,2.424720266,7813
210,2.424720401,11908
211,2.424738505,12762
212,2.425144854,54
213,2.428568027,221
214,2.429172035,60
215,2.429642114,35354
216,2.429765161,54
217,2.429976451,8526
218,2.429976728,20521
219,2.430030663,54
220,2.430231266,35354
221,2.430374923,54
222,2.430548533,8526
223,2.430765836,54
224,2.430899759,36067
225,2.431587705,54
226,2.435833807,32530
227,2.435968752,54
228,2.436146715,15586
229,2.436185835,9938
230,2.436205753,54
231,2.436185901,6401
232,2.436575184,17574
233,2.436610394,54
234,2.436802948,15010
235,2.436882392,15586
236,2.436967936,54
237,2.437115207,33805
238,2.437133564,54
239,2.437448611,1547
240,2.437505448,54
241,2.439646391,14174
242,2.439759837,4290
243,2.439759975,11350
244,2.439812156,4290
245,2.439812275,4290
246,2.439824997,54
247,2.43998654,54
248,2.440009166,7114
249,2.440086913,54
250,2.440171629,21234
251,2.440595904,54
252,2.446570936,32530
253,2.446721945,12762
254,2.446825626,54
255,2.446864553,19109
256,2.44706385,54
257,2.447485761,45238
258,2.447582498,54
259,2.447584452,19109
260,2.447751751,54
261,2.447966938,15600
262,2.447995137,54
263,2.452397859,38178
264,2.452573462,15586
265,2.452604853,10637
266,2.452623037,54
267,2.452811144,7229
268,2.452872961,22646
269,2.452947341,54
270,2.45346985,38178
271,2.453514884,54
272,2.453640149,54
273,2.453957703,17711
274,2.454090413,9938
275,2.454090674,8512
276,2.454129533,54
277,2.454396323,4131
278,2.454425408,54
279,2.454554179,54
280,2.454710718,15600
281,2.454784806,54
282,2.458019172,10075
283,2.458020605,93
284,2.458090911,54
285,2.459220094,93
286,2.459493439,60
287,2.495950793,2286
288,2.49635257,2173
289,2.496593771,60
290,2.496594051,60
291,2.496594141,60
292,2.496594198,60
293,2.545520951,1555
294,2.545705849,54
295,4.456203846,221
296,4.456857832,60
297,4.477154863,15702
298,4.477567917,54
299,4.478220645,19800
300,4.478499731,54
301,4.481266122,93
302,4.481779078,60
303,4.482093685,89
304,4.48228493,60
305,4.615847102,2286
306,4.616491699,60
307,4.616491918,60
308,4.61669126,2172
309,4.617012511,60
310,4.617012759,60
311,4.629277199,1525
312,4.629629833,54
313,4.630874107,36766
314,4.632241626,27581
315,4.634890403,54
316,4.635587694,1779
317,4.635955783,54
318,4.640364001,24058
319,4.640412777,54
320,4.640500398,14174
321,4.640572992,4290
322,4.64057311,21933
323,4.640926607,24058
324,4.641179922,54
325,4.641989677,64293
326,4.642032549,54
327,4.642612944,16887
328,4.642968384,54
329,4.645755526,45017
330,4.645917921,54
331,4.64612974,19330
332,4.646631223,45017
333,4.647354315,54
334,4.647763977,62781
335,4.648626788,54
336,4.653341551,16998
337,4.653388897,54
338,4.653717873,29264
339,4.653750354,18139
340,4.653826696,16998
341,4.654343867,54
342,4.654937424,64293
343,4.655162635,54
344,4.655596251,6934
345,4.655708441,54
346,4.656727031,8526
347,4.656727523,18410
348,4.656770365,54
349,4.656873465,5124
350,4.657478053,54
351,4.660650235,9938
352,4.660650617,12762
353,4.660738479,54
354,4.660864684,16164
355,4.660912269,5569
356,4.660994025,54
357,4.661140296,12762
358,4.661164125,54
359,4.6612156,16998
360,4.661257809,308
361,4.661313498,54
362,4.66139229,15747
363,4.661477868,54
364,4.661576165,12762
365,4.661628526,12762
366,4.661807908,54
367,4.661819101,18410
368,4.661945317,54
369,4.662057152,5260
370,4.662105531,54
371,4.66808106,32945
372,4.668297422,8526
373,4.668297564,12762
374,4.668401325,10222
375,4.668456345,54
376,4.669123434,64293
377,4.669187893,54
378,4.669678534,41453
379,4.670026442,54
380,4.683539381,15586
381,4.683628927,54
382,4.683735336,7114
383,4.68374582,54
384,4.690820597,11765
385,4.690892192,12762
386,4.690989664,54
387,4.691233032,25470
388,4.691251099,11350
389,4.691285289,3162
390,4.691334362,54
391,4.691434418,10888
392,4.691520981,4290
393,4.691529408,54
394,4.69167879,54
395,4.69170527,9403
396,4.691880986,4825
397,4.692013448,54
398,4.69714339,19822
399,4.697273444,19257
400,4.697355018,5702
401,4.697355237,7114
402,4.697398438,12614
403,4.69741338,54
404,4.69763028,54
405,4.697829698,10274
406,4.697848391,54
407,4.69810007,34453
408,4.698190879,54
409,4.698498456,29894
410,4.698521177,54
411,4.698626267,34453
412,4.69866748,54
413,4.69906055,8063
414,4.699284855,54
415,4.975934506,2286
416,4.976372573,60
417,4.976373032,60
418,4.976520697,2257
419,4.976954358,60
420,4.976954723,60
421,4.990746991,1246
422,4.990747692,36554
423,4.990992276,545
424,4.991011705,54
425,4.992064261,8526
426,4.992064418,7114
427,4.992166172,8526
428,4.99216648,1466
429,4.992166562,7114
430,4.992260985,1466
431,4.992261313,2878
432,4.994261818,54
433,4.995138111,29706
434,4.995172597,54
435,4.995336637,15586
436,4.995391919,7114
437,4.995392079,12049
438,4.995526406,9239
439,4.995920609,54
440,4.998483183,35354
441,4.998613814,54
442,4.998860657,9938
443,4.998861096,19109
444,4.998927043,54
445,4.999227644,54
446,4.999451534,29007
447,4.999848834,54
448,5.003510288,1466
449,5.003510651,4290
450,5.003510684,11734
451,5.003651101,54
452,5.003757197,54
453,5.003901417,1082
454,5.003901539,8526
455,5.003901579,5702
456,5.003944435,54
457,5.003998683,8526
458,5.004110823,54
459,5.004326688,20494
460,5.00446012,54
461,5.004528968,794
462,5.004529103,7114
463,5.004529142,18410
464,5.00467369,54
465,5.004701425,15586
466,5.004750278,15586
467,5.004793635,5894
468,5.004809229,54
469,5.004935289,54
470,5.004946116,1233
471,5.004946243,4331
472,5.005306276,54
473,5.005330287,26552
474,5.00559617,54
475,5.020613744,3377
476,5.021066288,653
477,5.021511847,60
478,5.021512204,60
479,5.021512308,60
480,5.021512416,60
481,5.051914895,2286
482,5.052277837,60
483,5.052317418,2256
484,5.052898856,60
485,5.052899173,60
486,5.052899281,60
487,5.067633051,1555
488,5.06796699,54
489,5.100663044,197
490,5.101999186,93
491,5.102462745,60
492,6.093505034,221
493,6.094035663,60
494,6.101207175,2997
495,6.101600599,54
496,6.102116575,22646
497,6.102398601,54
498,6.104235955,21850
499,6.104299687,54
500,6.105991447,93
501,6.106687002,60
502,6.241011102,2286
503,6.241579065,60
504,6.241579449,60
505,6.241676655,2254
506,6.242089756,60
507,6.242090064,60
508,6.257646944,1246
509,6.257647582,37045
510,6.25798976,54
511,6.260893011,44838
512,6.26097813,19509
513,6.261228873,54
514,6.261747782,38491
515,6.261777151,54
516,6.266010823,56534
517,6.266222668,7813
518,6.266290446,54
519,6.266743014,37479
520,6.266796164,54
521,6.271600947,22646
522,6.271671917,54
523,6.27215651,22646
524,6.27221208,54
525,6.272216729,19109
526,6.272401525,54
527,6.272715852,45238
528,6.272838221,19109
529,6.272857558,54
530,6.273031399,54
531,6.273266344,31101
532,6.273318706,54
533,6.277969609,19822
534,6.278059799,54
535,6.278177083,21234
536,6.278209226,54
537,6.278228068,4290
538,6.278228165,19109
539,6.278363125,54
540,6.278549153,19822
541,6.278568548,54
542,6.278874602,44525
543,6.279003856,54
544,6.279267701,19822
545,6.279391305,54
546,6.279468544,26392
547,6.280110446,54
548,6.285285963,43826
549,6.285469468,20521
550,6.28552975,54
551,6.286476902,64293
552,6.286556004,54
553,6.287197418,40319
554,6.287349383,54
555,6.294005375,18410
556,6.294087278,54
557,6.294236792,14174
558,6.294259735,12762
559,6.294289667,54
560,6.294298645,14778
561,6.294377727,4385
562,6.294529324,54
563,6.294618362,18410
564,6.294655786,54
565,6.294680221,18315
566,6.294720063,8621
567,6.294780773,54
568,6.294953496,23963
569,6.295111979,54
570,6.295125049,16114
571,6.295249903,54
572,6.29527251,3762
573,6.295272617,18410
574,6.295437226,2260
575,6.295437539,6320
576,6.295488739,54
577,6.295794842,54
578,6.296014357,24058
579,6.296126249,7114
580,6.29612666,26963
581,6.296251569,1681
582,6.29650664,54
583,6.296662161,4693
584,6.296747643,54
585,6.29720941,59654
586,6.297310229,4693
587,6.297662348,54
588,6.298003294,13072
589,6.298037974,54
590,6.302854948,48062
591,6.302967471,54
592,6.303073677,16285
593,6.303143693,54
594,6.304083621,64293
595,6.304151666,54
596,6.304504333,19836
597,6.304559747,54
598,6.325436726,15586
599,6.325620282,54
600,6.325879808,15586
601,6.3259964,8526
602,6.325996628,15586
603,6.32667301,54
604,6.329224724,42414
605,6.329366499,21933
606,6.329763505,54
607,6.330175144,16114
608,6.330646411,48233
609,6.330868726,54
610,6.33150187,6379
611,6.33163197,54
612,6.656610285,2286
613,6.656910027,2340
614,6.657184826,60
615,6.657184945,60
616,6.65718498,60
617,6.657583691,60
618,6.673271555,1555
619,6.673582248,54
620,7.590587063,54
621,7.591168372,54
622,7.591319628,54
623,7.591462111,54
624,7.591716031,60
625,7.591716213,60
626,7.591716313,60
627,7.591716394,60
628,9.550105471,176
629,9.550579146,60
630,9.550763562,93
631,9.551008611,2788
632,9.551080773,60
633,9.551610883,60
634,9.551611345,60
635,9.557248751,93
636,9.597513094,54
637,9.654149152,993
638,9.654242134,54
639,9.655719935,93
640,9.655757455,54
641,9.657030827,89
642,9.657306109,93
643,9.657510491,60
644,9.657510851,60
645,9.977368184,3700
646,9.978078587,60
647,9.978079,60
648,9.978079048,60
649,10.05872144,195
650,10.05957991,93
651,10.0602357,60
