No.,Time,Length
1,0,70
2,0.0002503,70
3,0.003353063,70
4,0.006740657,127
5,0.006740828,86
6,0.009015184,127
7,0.012118401,70
8,0.018400019,127
9,0.58234295,74
10,0.587965846,166
11,0.597435919,74
12,0.642750182,60
13,0.642849566,54
14,0.643704024,1953
15,0.644525444,60
16,0.644525974,60
17,0.735874034,4054
18,0.735934601,54
19,0.742524053,134
20,0.743104915,60
21,0.743259815,146
22,0.743358725,461
23,0.743510128,60
24,0.743510286,60
25,0.797562761,628
26,0.832944448,146
27,0.833018801,54
28,0.833229875,85
29,0.833483914,60
30,1.047969684,11992
31,1.048095301,54
32,1.049353207,2958
33,1.049353775,2958
34,1.049497132,54
35,1.04964637,54
36,1.052041437,2171
37,1.052172098,54
38,1.230085956,74
39,1.230416977,74
40,1.237047702,166
41,1.238144581,555
42,1.238578978,211
43,1.238981138,60
44,1.246373438,236
45,1.246841956,60
46,1.24764185,173
47,1.247822467,74
48,1.248029667,60
49,1.249309518,226
50,1.249635117,60
51,1.254544671,222
52,1.254805305,60
53,1.25556332,226
54,1.255864778,60
55,1.25658325,225
56,1.257110432,60
57,1.25765837,221
58,1.258291902,60
59,1.261224131,221
60,1.261684105,60
61,1.267128001,221
62,1.267604407,60
63,1.273530056,250
64,1.274105973,60
65,1.275202979,74
66,1.27574555,74
67,1.276668575,216
68,1.277145899,60
69,1.277712052,214
70,1.278109499,60
71,1.279054777,285
72,1.279610665,60
73,1.2802469,220
74,1.280889851,60
75,1.282259655,166
76,1.283983662,211
77,1.285417999,3342
78,1.286078475,54
79,1.286301192,2958
80,1.286363764,54
81,1.288010535,2958
82,1.288034472,54
83,1.290041134,2958
84,1.290070857,54
85,1.29184586,2958
86,1.291985166,54
87,1.293487935,60
88,1.293537262,54
89,1.295218419,153
90,1.29544616,60
91,1.295721464,2958
92,1.296000848,74
93,1.296898186,74
94,1.29715963,54
95,1.297653497,1302
96,1.301518759,1953
97,1.302248345,60
98,1.30224885,60
99,1.314222191,3205
100,1.314361612,54
101,1.315736689,2958
102,1.315796055,54
103,1.318020647,2958
104,1.318061107,54
105,1.319312363,2958
106,1.319364031,54
107,1.321275731,2958
108,1.321320429,54
109,1.324874155,1506
110,1.325489002,1506
111,1.325531157,54
112,1.331026972,220
113,1.331338111,60
114,1.333227162,5862
115,1.333227585,5862
116,1.333274259,54
117,1.33371808,54
118,1.334389685,2958
119,1.334422773,54
120,1.336209483,2958
121,1.336237242,54
122,1.337776226,2958
123,1.337851795,54
124,1.339893526,2958
125,1.339919285,54
126,1.340337079,226
127,1.340666115,60
128,1.342089125,2958
129,1.342134316,54
130,1.347065239,143
131,1.347699973,60
132,1.348758169,143
133,1.348961293,60
134,1.348961576,8766
135,1.348961606,60
136,1.348998125,54
137,1.349526548,54
138,1.350354958,2958
139,1.350355485,60
140,1.350405665,54
141,1.350557309,54
142,1.35203668,2958
143,1.352072696,54
144,1.354511279,2958
145,1.354548535,54
146,1.355232964,1953
147,1.35561698,60
148,1.355617095,60
149,1.358027694,1953
150,1.358627614,60
151,1.358627818,60
152,1.358627931,1514
153,1.358989717,1498
154,1.359013223,54
155,1.359851887,2958
156,1.359881397,54
157,1.362289832,2958
158,1.3623182,54
159,1.363997265,2958
160,1.364027054,54
161,1.366288082,2958
162,1.366336996,54
163,1.367857444,2958
164,1.367905951,54
165,1.370038971,2958
166,1.370073383,54
167,1.377141142,2958
168,1.377196217,54
169,1.378863385,2958
170,1.378901933,54
171,1.379927389,2958
172,1.380028469,54
173,1.382111819,2958
174,1.382196568,54
175,1.384201311,2958
176,1.384335239,54
177,1.38477414,2958
178,1.384883357,54
179,1.385905209,2958
180,1.386020694,54
181,1.386676142,2958
182,1.386783984,54
183,1.387771379,2958
184,1.387821207,54
185,1.389354399,2958
186,1.389413026,54
187,1.390725613,2958
188,1.390870246,54
189,1.391234989,2958
190,1.391305756,54
191,1.392784259,5862
192,1.392874666,54
193,1.39462711,2958
194,1.394644316,54
195,1.395642479,2958
196,1.395832799,54
197,1.396733282,2958
198,1.396769257,54
199,1.398212275,5862
200,1.398291332,54
201,1.399480857,2958
202,1.400270682,54
203,1.40089049,4054
204,1.400890619,2958
205,1.401065686,54
206,1.401309985,54
207,1.401980889,2958
208,1.402007552,54
209,1.403212647,5862
210,1.403249089,54
211,1.404103914,2958
212,1.404177755,54
213,1.405419001,134
214,1.405456692,2958
215,1.405456847,2958
216,1.405489585,54
217,1.405538502,54
218,1.405636865,60
219,1.407118812,2958
220,1.407166208,54
221,1.40737471,163
222,1.407743074,60
223,1.408139582,2958
224,1.408169103,54
225,1.409061404,2958
226,1.409138317,54
227,1.40947627,2958
228,1.409672967,54
229,1.410229738,2958
230,1.410285978,54
231,1.411353889,5862
232,1.411406335,54
233,1.412213608,2958
234,1.412333122,54
235,1.413634249,8766
236,1.413677635,54
237,1.417112341,8766
238,1.417152967,54
239,1.418453966,8766
240,1.418509494,54
241,1.420891804,5862
242,1.421223483,54
243,1.422674837,2958
244,1.422703691,54
245,1.4244269,2958
246,1.42449799,54
247,1.424748422,2958
248,1.424774994,54
249,1.42656688,2958
250,1.426626879,54
251,1.427417965,2958
252,1.427453037,54
253,1.43031886,6522
254,1.430319197,5862
255,1.430395111,54
256,1.430473987,54
257,1.430599283,2958
258,1.430654477,54
259,1.431399171,2958
260,1.431461634,54
261,1.433726232,5862
262,1.433771466,54
263,1.433953669,5862
264,1.433984746,54
265,1.434931966,2958
266,1.434989441,54
267,1.435773503,2958
268,1.435830442,54
269,1.436043443,2958
270,1.436146775,54
271,1.437625754,325
272,1.43827189,5862
273,1.438272327,60
274,1.438402982,54
275,1.438779429,2958
276,1.43886526,54
277,1.439474572,2958
278,1.439553769,54
279,1.43983719,2958
280,1.439865849,54
281,1.44166667,205
282,1.442140181,60
283,1.443909549,13122
284,1.444057721,54
285,1.445377469,5862
286,1.445528252,54
287,1.446990305,8766
288,1.447174735,54
289,1.449451095,13122
290,1.449516499,54
291,1.449663308,4410
292,1.449682696,54
293,1.452635847,4410
294,1.452636358,628
295,1.452709554,54
296,1.453319299,8766
297,1.453352287,54
298,1.453929732,8766
299,1.453973005,54
300,1.454495297,78
301,1.454619548,54
302,1.454875622,4410
303,1.454876152,60
304,1.454932277,54
305,1.455455887,60
306,1.455456121,4054
307,1.455456185,4410
308,1.455495543,54
309,1.455535843,54
310,1.456596201,7314
311,1.456647673,54
312,1.457503837,4410
313,1.457534303,54
314,1.457803031,5862
315,1.457828334,54
316,1.458692171,2958
317,1.458692745,2958
318,1.458744396,54
319,1.458889683,54
320,1.459269878,5862
321,1.459296964,54
322,1.460463194,5862
323,1.46050834,54
324,1.461744674,134
325,1.462323675,60
326,1.462324056,5862
327,1.46235979,54
328,1.462810736,4054
329,1.462810782,5862
330,1.46282606,54
331,1.462851512,54
332,1.463391862,203
333,1.463617947,10218
334,1.46361809,60
335,1.463645047,54
336,1.465095452,163
337,1.465685678,60
338,1.465686003,13122
339,1.465731561,54
340,1.46586627,4410
341,1.465893647,54
342,1.466179432,7314
343,1.466205041,54
344,1.468431078,134
345,1.469027651,163
346,1.469120907,60
347,1.469410922,60
348,1.470684388,21834
349,1.470750165,54
350,1.47232671,14574
351,1.47245848,54
352,1.472698695,7314
353,1.472728547,54
354,1.477099856,11670
355,1.477246975,54
356,1.477506728,16026
357,1.477626241,54
358,1.477900908,7314
359,1.477935345,54
360,1.478247872,11670
361,1.478420537,54
362,1.479191277,2958
363,1.479191688,8766
364,1.479238234,54
365,1.479403989,54
366,1.480188184,4410
367,1.480188405,4410
368,1.480247699,54
369,1.480281541,54
370,1.482817023,11670
371,1.482862964,54
372,1.483310696,2958
373,1.483439086,54
374,1.484318703,11670
375,1.484427555,54
376,1.484578584,2958
377,1.484599717,54
378,1.485333816,17478
379,1.485370978,54
380,1.486669124,8766
381,1.486733368,54
382,1.488316755,8766
383,1.488512907,54
384,1.489445489,11670
385,1.489575789,54
386,1.490818942,4410
387,1.490853221,54
388,1.492090637,8766
389,1.492091096,4410
390,1.492149334,54
391,1.49228189,54
392,1.492486689,8766
393,1.492588587,54
394,1.497454598,8766
395,1.497454994,8766
396,1.497596187,54
397,1.497760038,54
398,1.497895297,4410
399,1.497895334,8766
400,1.497989866,54
401,1.49803943,54
402,1.498274115,7314
403,1.498311425,54
404,1.498731013,10218
405,1.498731182,146
406,1.498753516,54
