No.,Time,Length
1,0,137
2,0.001038584,93
3,0.001508324,60
4,0.007918783,646
5,0.011543341,89
6,0.011959835,93
7,0.012330429,60
8,0.01233063,60
9,0.012763911,196
10,0.013300008,60
11,0.087058648,539
12,0.088423505,89
13,0.088952541,93
14,0.089224321,60
15,0.089224629,60
16,0.380339077,4434
17,0.380573078,341
18,0.380794956,291
19,0.380961212,60
20,0.381723245,60
21,0.38172365,60
22,0.381723705,60
23,0.381723747,60
24,0.381837953,4434
25,0.382053202,180
26,0.382207531,590
27,0.382292485,60
28,0.382525023,60
29,0.38252511,60
30,0.382525151,60
31,0.382525193,60
32,0.415460378,4434
33,0.415689859,348
34,0.416287878,60
35,0.416621037,60
36,0.416621347,60
37,0.416976004,60
38,0.494602364,1468
39,0.496115746,89
40,0.496144414,124
41,0.496351441,93
42,0.496425045,60
43,0.496847432,60
44,0.525026083,3053
45,0.525542391,93
46,0.528075418,54
47,0.537187486,1618
48,0.538505848,85
49,0.560753124,93
50,0.561508432,60
51,0.69428171,139
52,0.694417772,4952
53,0.694830936,60
54,0.694831405,60
55,0.694831453,60
56,0.695161549,60
57,0.695161651,60
58,0.7504223,203
59,0.751246784,60
60,0.771789126,289
61,0.772012175,93
62,0.772268886,54
63,0.77352563,89
64,0.77402211,60
65,0.774468451,93
66,0.77481299,60
67,0.799040575,7422
68,0.799087956,54
69,0.799409668,7314
70,0.799439847,54
71,0.801505624,7314
72,0.801686865,54
73,0.803575448,7314
74,0.803725079,54
75,0.805561584,29094
76,0.805609934,54
77,0.807280837,14574
78,0.807335767,54
79,0.808291728,7314
80,0.808392662,54
81,0.810983786,13122
82,0.811122162,54
83,0.811306846,7314
84,0.811335411,54
85,0.811608536,7314
86,0.81163363,54
87,0.812058918,2958
88,0.812087417,54
89,0.81363896,11670
90,0.813679562,54
91,0.815455183,14574
92,0.815509242,54
93,0.816469503,7314
94,0.816515165,54
95,0.819179865,20382
96,0.819305178,54
97,0.819499823,1477
98,0.819526974,54
99,0.824567923,89
100,0.82518583,60
101,0.975671787,2323
102,0.976374861,60
103,0.976375416,60
104,1.076022346,2084
