"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","35.186.224.24","192.168.129.132","TLSv1.2","137","Application Data"
"2","0.001038584","192.168.129.132","35.186.224.24","TLSv1.2","93","Application Data"
"3","0.001508324","35.186.224.24","192.168.129.132","TCP","60","443  >  46424 [ACK] Seq=84 Ack=40 Win=64240 Len=0"
"4","0.007918783","35.186.224.24","192.168.129.132","TLSv1.2","646","Application Data, Application Data, Application Data"
"5","0.011543341","192.168.129.132","35.186.224.24","TLSv1.2","89","Application Data"
"6","0.011959835","192.168.129.132","35.186.224.24","TLSv1.2","93","Application Data"
"7","0.012330429","35.186.224.24","192.168.129.132","TCP","60","443  >  46388 [ACK] Seq=593 Ack=36 Win=64240 Len=0"
"8","0.012330630","35.186.224.24","192.168.129.132","TCP","60","443  >  46388 [ACK] Seq=593 Ack=75 Win=64240 Len=0"
"9","0.012763911","192.168.129.132","35.186.224.24","TLSv1.2","196","Application Data"
"10","0.013300008","35.186.224.24","192.168.129.132","TCP","60","443  >  46424 [ACK] Seq=84 Ack=182 Win=64240 Len=0"
"11","0.087058648","35.186.224.24","192.168.129.132","TLSv1.2","539","Application Data, Application Data, Application Data"
"12","0.088423505","192.168.129.132","35.186.224.24","TLSv1.2","89","Application Data"
"13","0.088952541","192.168.129.132","35.186.224.24","TLSv1.2","93","Application Data"
"14","0.089224321","35.186.224.24","192.168.129.132","TCP","60","443  >  46424 [ACK] Seq=569 Ack=217 Win=64240 Len=0"
"15","0.089224629","35.186.224.24","192.168.129.132","TCP","60","443  >  46424 [ACK] Seq=569 Ack=256 Win=64240 Len=0"
"16","0.380339077","192.168.129.132","142.250.75.37","TCP","4434","45462  >  443 [PSH, ACK] Seq=1 Ack=1 Win=65535 Len=4380 [TCP PDU reassembled in 17]"
"17","0.380573078","192.168.129.132","142.250.75.37","TLSv1.2","341","Application Data"
"18","0.380794956","192.168.129.132","142.250.75.37","TLSv1.2","291","Application Data"
"19","0.380961212","142.250.75.37","192.168.129.132","TCP","60","443  >  45462 [ACK] Seq=1 Ack=1461 Win=64240 Len=0"
"20","0.381723245","142.250.75.37","192.168.129.132","TCP","60","443  >  45462 [ACK] Seq=1 Ack=2921 Win=64240 Len=0"
"21","0.381723650","142.250.75.37","192.168.129.132","TCP","60","443  >  45462 [ACK] Seq=1 Ack=4381 Win=64240 Len=0"
"22","0.381723705","142.250.75.37","192.168.129.132","TCP","60","443  >  45462 [ACK] Seq=1 Ack=4668 Win=64240 Len=0"
"23","0.381723747","142.250.75.37","192.168.129.132","TCP","60","443  >  45462 [ACK] Seq=1 Ack=4905 Win=64240 Len=0"
"24","0.381837953","192.168.129.132","142.250.75.37","TCP","4434","45462  >  443 [PSH, ACK] Seq=4905 Ack=1 Win=65535 Len=4380 [TCP PDU reassembled in 25]"
"25","0.382053202","192.168.129.132","142.250.75.37","TLSv1.2","180","Application Data"
"26","0.382207531","192.168.129.132","142.250.75.37","TLSv1.2","590","Application Data"
"27","0.382292485","142.250.75.37","192.168.129.132","TCP","60","443  >  45462 [ACK] Seq=1 Ack=6365 Win=64240 Len=0"
"28","0.382525023","142.250.75.37","192.168.129.132","TCP","60","443  >  45462 [ACK] Seq=1 Ack=7825 Win=64240 Len=0"
"29","0.382525110","142.250.75.37","192.168.129.132","TCP","60","443  >  45462 [ACK] Seq=1 Ack=9285 Win=64240 Len=0"
"30","0.382525151","142.250.75.37","192.168.129.132","TCP","60","443  >  45462 [ACK] Seq=1 Ack=9411 Win=64240 Len=0"
"31","0.382525193","142.250.75.37","192.168.129.132","TCP","60","443  >  45462 [ACK] Seq=1 Ack=9947 Win=64240 Len=0"
"32","0.415460378","192.168.129.132","142.250.75.37","TCP","4434","45462  >  443 [PSH, ACK] Seq=9947 Ack=1 Win=65535 Len=4380 [TCP PDU reassembled in 33]"
"33","0.415689859","192.168.129.132","142.250.75.37","TLSv1.2","348","Application Data"
"34","0.416287878","142.250.75.37","192.168.129.132","TCP","60","443  >  45462 [ACK] Seq=1 Ack=11407 Win=64240 Len=0"
"35","0.416621037","142.250.75.37","192.168.129.132","TCP","60","443  >  45462 [ACK] Seq=1 Ack=12867 Win=64240 Len=0"
"36","0.416621347","142.250.75.37","192.168.129.132","TCP","60","443  >  45462 [ACK] Seq=1 Ack=14327 Win=64240 Len=0"
"37","0.416976004","142.250.75.37","192.168.129.132","TCP","60","443  >  45462 [ACK] Seq=1 Ack=14621 Win=64240 Len=0"
"38","0.494602364","142.250.75.37","192.168.129.132","TLSv1.2","1468","Application Data, Application Data"
"39","0.496115746","192.168.129.132","142.250.75.37","TLSv1.2","89","Application Data"
"40","0.496144414","142.250.75.37","192.168.129.132","TLSv1.2","124","Application Data, Application Data"
"41","0.496351441","192.168.129.132","142.250.75.37","TLSv1.2","93","Application Data"
"42","0.496425045","142.250.75.37","192.168.129.132","TCP","60","443  >  45462 [ACK] Seq=1485 Ack=14656 Win=64240 Len=0"
"43","0.496847432","142.250.75.37","192.168.129.132","TCP","60","443  >  45462 [ACK] Seq=1485 Ack=14695 Win=64240 Len=0"
"44","0.525026083","142.250.75.37","192.168.129.132","TLSv1.2","3053","Application Data, Application Data, Application Data, Application Data"
"45","0.525542391","142.250.75.37","192.168.129.132","TLSv1.2","93","Application Data"
"46","0.528075418","192.168.129.132","142.250.75.37","TCP","54","45462  >  443 [ACK] Seq=14695 Ack=4523 Win=65535 Len=0"
"47","0.537187486","142.250.75.37","192.168.129.132","TLSv1.2","1618","Application Data, Application Data"
"48","0.538505848","142.250.75.37","192.168.129.132","TLSv1.2","85","Application Data"
"49","0.560753124","192.168.129.132","142.250.75.37","TLSv1.2","93","Application Data"
"50","0.561508432","142.250.75.37","192.168.129.132","TCP","60","443  >  45462 [ACK] Seq=6118 Ack=14734 Win=64240 Len=0"
"51","0.694281710","192.168.129.132","35.186.224.26","TLSv1.2","139","Application Data"
"52","0.694417772","192.168.129.132","35.186.224.26","TLSv1.2","4952","Application Data"
"53","0.694830936","35.186.224.26","192.168.129.132","TCP","60","443  >  43926 [ACK] Seq=1 Ack=86 Win=64240 Len=0"
"54","0.694831405","35.186.224.26","192.168.129.132","TCP","60","443  >  43926 [ACK] Seq=1 Ack=1546 Win=64240 Len=0"
"55","0.694831453","35.186.224.26","192.168.129.132","TCP","60","443  >  43926 [ACK] Seq=1 Ack=3006 Win=64240 Len=0"
"56","0.695161549","35.186.224.26","192.168.129.132","TCP","60","443  >  43926 [ACK] Seq=1 Ack=4466 Win=64240 Len=0"
