No.,Time,Length
1,0,615
2,0.004536786,99
3,0.011068949,615
4,0.01934177,112
5,0.020215227,647
6,0.027143205,99
7,0.030700756,863
8,0.048439713,105
9,0.048699686,863
10,0.048913126,60
11,0.049522326,114
12,0.050750185,99
13,0.058503758,719
14,0.065564815,118
15,0.067228199,112
16,0.069227328,719
17,0.070406649,99
18,0.079498695,171
19,0.080528119,719
20,0.090273868,719
21,0.091876058,99
22,0.102247293,719
23,0.117250963,751
24,0.117844721,113
25,0.11883699,119
26,0.119145452,99
27,0.129885876,1315
28,0.130080753,119
29,0.139632495,603
30,0.140960841,99
31,0.150356939,603
32,0.150357453,603
33,0.152592247,99
34,0.162722997,603
35,0.168092356,120
36,0.168610839,206
37,0.169899094,118
38,0.172032632,603
39,0.173579759,99
40,0.179145972,78
41,0.179194743,54
42,0.179627082,82
43,0.180132763,60
44,0.180671582,118
45,0.183413588,101
46,0.183414125,635
47,0.18758344,105
48,0.187741955,101
49,0.188121745,60
50,0.193694815,859
51,0.207951474,99
52,0.212089371,859
53,0.22492001,99
54,0.227283743,120
55,0.227580762,99
56,0.228342582,54
57,0.23093659,158
58,0.234854733,113
59,0.236516969,635
60,0.242482315,635
61,0.243286103,99
62,0.252771293,635
63,0.26262658,631
64,0.263534729,99
65,0.272892918,115
66,0.273614077,111
67,0.274955988,631
68,0.284924879,663
69,0.285881103,99
70,0.286727843,156
71,0.298161208,815
72,0.30463538,815
73,0.310865001,99
74,0.316480145,106
75,0.32094843,168
76,0.321519746,60
77,0.327998427,623
78,0.33688961,179
79,0.338164949,619
80,0.33906075,99
81,0.341558415,165
82,0.349390611,619
83,0.363647336,619
84,0.365165514,99
85,0.371450128,384
86,0.37187921,60
87,0.373375192,619
88,0.373375356,651
89,0.37454446,99
90,0.37672925,106
91,0.3767296,146
92,0.377451937,158
93,0.378372157,106
94,0.378624116,156
95,0.381073689,392
96,0.381553286,60
97,0.389760143,175
98,0.394879399,146
99,0.401526396,823
100,0.401526595,823
101,0.403569586,99
102,0.420366217,639
103,0.420366729,639
104,0.426708211,99
105,0.437103947,129
106,0.440005712,639
107,0.440006216,639
108,0.441481678,99
109,0.442064825,123
110,0.455336389,671
111,0.455336773,639
112,0.457070153,103
113,0.457948617,114
114,0.458444133,117
115,0.488039535,891
116,0.489359344,103
117,0.496201432,144
118,0.496569943,119
119,0.498522509,679
120,0.499746426,103
121,0.510711748,679
122,0.515245864,114
123,0.524565732,103
124,0.524750286,108
125,0.536389122,679
126,0.537457442,107
127,0.548215775,124
128,0.561965659,122
129,0.566608855,122
130,0.583013044,775
131,0.584436749,111
132,0.593954105,587
133,0.595249094,115
134,0.601268395,120
135,0.615086271,587
136,0.618742894,119
137,0.622533021,112
138,0.627721868,587
139,0.62967404,115
140,0.63058465,119
141,0.655819975,835
142,0.657083858,123
143,0.658415158,835
144,0.65940269,123
145,0.668735618,117
146,0.670048867,117
147,0.672487354,627
148,0.67365106,123
149,0.679230975,627
150,0.680232777,123
151,0.681035444,115
152,0.687007703,627
153,0.687884316,123
154,0.695843209,627
155,0.700513097,127
156,0.721851959,122
157,0.72513273,787
158,0.726225882,131
159,0.734604747,123
160,0.766681807,115
161,0.767231199,175
162,0.775545479,112
163,0.776565171,118
164,0.783339622,54
165,0.783566735,54
166,0.78362935,54
167,0.783675433,54
168,0.783730261,54
169,0.783787569,54
170,0.783832458,54
171,0.783944637,60
172,0.783944734,60
173,0.783944771,60
174,0.783944807,60
175,0.783944843,60
176,0.783944945,60
177,0.783944982,60
178,0.796459853,125
179,0.796794607,91
180,0.799145665,619
181,0.804036161,135
182,0.806434379,619
183,0.807099826,135
184,0.816458282,651
185,0.817286547,135
186,0.82649905,827
187,0.827484164,136
188,0.828002139,135
189,0.835394953,827
190,0.836694892,135
191,0.841097714,127
192,0.845569144,603
193,0.845569473,603
194,0.846357573,135
195,0.846615702,135
196,0.870019734,603
197,0.870019889,603
198,0.87002008,603
199,0.872414979,135
200,0.872919881,135
201,0.873203061,135
202,0.887648559,635
203,0.889635488,119
204,0.89000588,117
205,0.890752685,135
206,0.894147879,110
207,0.897509267,101
208,0.897592408,54
209,0.897791294,105
210,0.898393104,60
211,0.908506845,114
212,0.908527824,875
213,0.908528283,875
214,0.909465259,135
215,0.909708538,135
216,0.914867554,99
217,0.914867966,99
218,0.933705294,93
219,0.933705794,663
220,0.933705833,103
221,0.933705868,663
222,0.934699205,135
223,0.934963233,97
224,0.935254334,60
225,0.935688633,103
226,0.93609475,135
227,0.943231102,663
228,0.943231322,99
229,0.944970587,135
230,0.947885516,116
231,0.949448243,663
232,0.950625265,135
233,0.959096184,663
234,0.97064733,691
235,0.974073626,135
236,0.974520732,135
237,0.978082088,691
238,0.986443895,117
239,0.987158424,143
240,0.987749657,135
241,0.997894442,1043
242,0.999181314,135
243,1.002402251,131
244,1.003487096,199
245,1.003722289,135
246,1.003781223,158
247,1.014878304,200
248,1.014929559,183
249,1.015945136,135
250,1.018418713,639
251,1.018419,91
252,1.019711903,135
253,1.024140362,134
254,1.028796372,183
255,1.029153973,639
256,1.030365615,111
257,1.042193353,639
258,1.043150289,111
259,1.044388722,54
260,1.049256512,115
261,1.052488053,639
262,1.053618588,111
263,1.064334144,54
264,1.068179738,639
265,1.068179966,93
266,1.069566748,97
267,1.069893325,60
268,1.070091808,671
269,1.07017205,111
270,1.070733653,111
271,1.07477388,214
272,1.078859415,212
273,1.081440111,671
274,1.081440638,111
275,1.086745839,111
276,1.087137013,111
277,1.087467094,194
278,1.091009968,1015
279,1.092646507,111
280,1.111942407,1011
281,1.113369557,111
282,1.120655292,197
283,1.124643581,619
284,1.125611697,111
285,1.134295631,619
286,1.134406571,201
287,1.135325382,111
288,1.143002179,619
289,1.143002248,619
290,1.144258945,175
291,1.144708361,111
292,1.145052215,111
293,1.149547865,196
294,1.152540901,210
295,1.154152552,615
296,1.155191445,111
297,1.162356445,647
298,1.163418605,111
299,1.180860396,647
300,1.184776796,111
301,1.187052331,771
302,1.187971004,111
303,1.194032792,771
304,1.194907204,99
305,1.197955627,111
306,1.200130891,200
307,1.20365688,199
308,1.204037496,603
309,1.205226785,111
310,1.214055601,603
311,1.215562708,111
312,1.22774343,603
313,1.228879138,111
314,1.238472177,603
315,1.239739805,111
316,1.240167698,210
317,1.244028568,603
318,1.244028767,635
319,1.245363392,111
320,1.245790597,111
321,1.254622463,635
322,1.25520044,206
323,1.255978443,111
324,1.257148925,215
325,1.26959627,831
326,1.271191528,111
327,1.291528266,831
328,1.291528746,691
329,1.291528902,99
330,1.295378084,111
331,1.295888915,111
332,1.302549276,195
333,1.305692986,691
334,1.305693376,691
335,1.306811506,115
336,1.306962853,111
337,1.307625694,195
338,1.308505696,91
339,1.329231302,691
340,1.329231986,691
341,1.330657929,99
342,1.344678273,150
343,1.344758407,54
344,1.345663965,200
345,1.349974973,719
346,1.349975809,719
347,1.35127757,110
348,1.351854956,60
349,1.352449033,99
350,1.361992347,190
351,1.362677095,131
352,1.362953702,198
353,1.370965404,803
354,1.370965905,803
355,1.372370885,103
356,1.379791381,835
357,1.381476581,99
358,1.400834743,183
359,1.401089204,667
360,1.411325263,667
361,1.414754885,180
362,1.41499569,99
363,1.421777746,667
364,1.431980488,667
365,1.432770325,99
366,1.440829078,667
367,1.450994884,699
368,1.451855809,186
369,1.452625317,99
370,1.454972971,91
371,1.454973124,91
372,1.45635559,99
373,1.456974533,99
374,1.463113727,699
375,1.464867908,183
376,1.467770177,190
377,1.480053195,199
378,1.482137578,991
379,1.483772559,99
380,1.492252971,991
381,1.496576349,158
382,1.509631188,99
383,1.509631673,1023
384,1.511563928,99
385,1.520281541,196
386,1.523984732,599
387,1.523985059,599
388,1.525108226,99
389,1.534007904,599
390,1.534482811,197
391,1.535558805,99
392,1.549473743,108
393,1.549474703,599
394,1.554600087,599
395,1.556209803,99
396,1.556818188,171
397,1.562535582,631
398,1.570502932,631
399,1.574506058,193
400,1.574809463,105
401,1.575081938,60
402,1.57526122,194
403,1.575413111,99
404,1.58204762,867
405,1.590433705,202
406,1.590632619,867
407,1.591360162,99
408,1.600568637,205
409,1.613603674,559
410,1.613604583,899
411,1.615148946,103
412,1.623389597,559
413,1.624965842,99
414,1.630843108,559
415,1.639295736,200
416,1.63994436,106
417,1.639944748,146
418,1.639944797,559
419,1.641051892,106
420,1.641189475,99
421,1.651249834,591
422,1.651250386,591
423,1.652460202,103
424,1.65293378,197
425,1.655510123,201
426,1.675933299,779
427,1.681115892,99
428,1.683156155,779
429,1.693400446,811
430,1.696181165,99
431,1.696646001,207
432,1.703185052,99
433,1.703185388,659
434,1.706531943,198
435,1.713197983,659
436,1.713961865,101
437,1.714989948,99
438,1.725901912,101
439,1.725902248,659
440,1.726074452,54
441,1.73162694,105
442,1.732170833,60
443,1.736550849,659
444,1.736551362,659
445,1.737672195,99
446,1.744677342,197
447,1.746511092,687
448,1.747955094,99
449,1.756960097,687
450,1.760954379,202
451,1.762219419,195
452,1.777963268,851
453,1.783960906,99
454,1.787517726,851
455,1.79758719,883
456,1.799230404,99
457,1.800595062,182
458,1.808441409,583
459,1.816623801,185
460,1.819391067,583
461,1.820581682,99
462,1.82751635,579
463,1.827516663,579
464,1.827516754,579
465,1.829059362,103
466,1.829856389,103
467,1.847764087,611
468,1.847764494,611
469,1.849066798,99
470,1.851929659,179
471,1.865991503,611
472,1.865991781,823
473,1.869584887,182
474,1.870333554,175
475,1.871981137,99
476,1.880793929,168
477,1.888051961,823
478,1.88904012,99
479,1.897981204,855
480,1.90755693,691
481,1.90824858,99
482,1.918609638,691
483,1.921228296,168
484,1.928159067,691
485,1.929156589,99
486,1.933502542,163
487,1.939962838,175
488,1.941606347,691
489,1.941606598,691
490,1.942770843,103
491,1.947098986,142
492,1.948025315,130
493,1.961956158,723
494,1.965520264,99
495,1.973069277,723
496,1.980034175,723
497,1.981300044,99
498,1.985801713,129
499,1.990101309,847
500,1.999495751,124
501,1.999575582,847
502,2.000463517,99
503,2.006640184,93
504,2.006640733,132
505,2.006768148,54
506,2.011304574,879
507,2.015289337,97
508,2.015842978,60
509,2.024303415,639
510,2.025524968,99
511,2.034134195,639
512,2.04241572,639
513,2.044013866,99
514,2.047643277,113
515,2.051561539,113
516,2.052597878,113
517,2.052755385,639
518,2.065280747,639
519,2.066397431,99
520,2.074631551,671
521,2.084772993,99
522,2.084773547,671
523,2.086162172,99
524,2.090499433,110
525,2.093857959,671
526,2.095210199,99
527,2.104003635,927
528,2.113154185,113
529,2.126975404,927
530,2.131159676,99
531,2.131607048,959
532,2.141680205,647
533,2.143658754,99
534,2.14404954,116
535,2.155927411,114
536,2.156565457,115
537,2.159269244,647
538,2.167106542,647
539,2.168078579,99
540,2.178600117,647
541,2.19029806,647
542,2.191171313,99
543,2.195408539,679
544,2.206341785,679
545,2.213073729,99
546,2.217275766,679
547,2.218922919,109
548,2.219652193,116
549,2.227693241,959
550,2.228685657,99
551,2.230747857,109
552,2.238071109,959
553,2.246076513,991
554,2.24804729,99
555,2.24999617,243
556,2.250497898,60
557,2.263173735,171
