No.,Time,Length
1,0,74
2,0.00060361,74
3,0.005975867,211
4,0.006312446,166
5,0.012358515,74
6,0.012950411,74
7,0.05997781,60
8,0.059977979,60
9,0.060146447,54
10,0.060274595,54
11,0.061159871,2081
12,0.06150827,60
13,0.06150836,60
14,0.061817329,2081
15,0.062019782,60
16,0.062019999,60
17,0.167311011,318
18,0.167418454,54
19,0.168375981,134
20,0.168696865,60
21,0.171164192,146
22,0.171427574,60
23,0.171615771,888
24,0.171919236,60
25,0.18271967,318
26,0.182795402,54
27,0.184252223,134
28,0.184693901,60
29,0.21579454,341
30,0.229905017,341
31,0.256411841,54
32,0.261241327,146
33,0.261373662,54
34,0.261692157,85
35,0.262108478,60
36,0.270326433,54
37,0.432262038,17798
38,0.432402473,54
39,0.435070483,2169
40,0.435127346,54
41,0.609816051,74
42,0.610468785,74
43,0.617060114,166
44,0.617060287,211
45,0.618784499,526
46,0.619119691,222
47,0.619719504,60
48,0.619719952,60
49,0.619829058,74
50,0.620046356,74
51,0.625433222,180
52,0.626033568,60
53,0.628630695,211
54,0.628630787,169
55,0.631066656,151
56,0.631687589,60
57,0.949812782,3342
58,0.949915041,54
59,0.952587038,2958
60,0.952649856,54
61,0.954714226,2958
62,0.954873774,54
63,0.957173353,2958
64,0.957330764,54
65,0.958652727,2958
66,0.958721697,54
67,0.961786713,2958
68,0.961866205,54
69,0.963842591,2958
70,0.963904945,54
71,0.968219593,2958
72,0.968266095,54
73,0.969175127,2958
74,0.969305333,54
75,0.969966411,2958
76,0.970034081,54
77,0.972861534,2958
78,0.972935062,54
79,0.975104517,2958
80,0.975274273,54
81,0.977638918,2958
82,0.977696143,54
83,0.979132958,2958
84,0.979240316,54
85,0.981392464,2958
86,0.981461805,54
87,0.98504658,2958
88,0.985129693,54
89,0.994592813,2958
90,0.994756333,54
91,0.995083128,2958
92,0.995196058,54
93,0.999596891,2958
94,0.999597059,2958
95,0.999734773,54
96,0.999891055,54
97,1.002354859,2958
98,1.002473039,54
99,1.008633148,5862
100,1.008633375,2958
101,1.008727237,54
102,1.008826149,54
103,1.012373526,2958
104,1.012468538,54
105,1.013291968,2958
106,1.01337022,54
107,1.015913566,2958
108,1.015996678,54
109,1.018233541,2958
110,1.01828167,54
111,1.022281981,2220
112,1.022390825,54
113,1.230643741,162
114,1.230905665,167
115,1.23132848,60
116,1.231328922,60
117,1.231378189,723
118,1.231546955,163
119,1.23185695,192
120,1.231885021,60
121,1.231885607,60
122,1.232041221,260
123,1.232318143,60
124,1.232318425,60
125,1.232455307,162
126,1.232823929,60
127,1.276105931,1721
128,1.276140833,54
129,1.316688748,164
130,1.317386427,60
131,1.31752162,142
132,1.317970886,60
