"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","192.168.129.132","192.168.129.2","DNS","83","Standard query 0x08a3 A spclient.wg.spotify.com"
"2","0.000942775","192.168.129.132","192.168.129.2","DNS","83","Standard query 0x7a04 HTTPS spclient.wg.spotify.com"
"3","0.005410967","192.168.129.2","192.168.129.132","DNS","132","Standard query response 0x08a3 A spclient.wg.spotify.com CNAME edge-web.dual-gslb.spotify.com A 35.186.224.24"
"4","0.006948733","192.168.129.2","192.168.129.132","DNS","181","Standard query response 0x7a04 HTTPS spclient.wg.spotify.com CNAME edge-web.dual-gslb.spotify.com SOA dns1.p05.nsone.net"
"5","0.007620304","192.168.129.132","192.168.129.2","DNS","90","Standard query 0xc226 HTTPS edge-web.dual-gslb.spotify.com"
"6","0.012913469","192.168.129.132","35.186.224.24","TCP","74","34816  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3359218880 TSecr=0 WS=128"
"7","0.013171687","192.168.129.2","192.168.129.132","DNS","155","Standard query response 0xc226 HTTPS edge-web.dual-gslb.spotify.com SOA dns1.p05.nsone.net"
"8","0.019171970","35.186.224.24","192.168.129.132","TCP","60","443  >  34816 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"9","0.019264782","192.168.129.132","35.186.224.24","TCP","54","34816  >  443 [ACK] Seq=1 Ack=1 Win=64240 Len=0"
"10","0.020293456","192.168.129.132","35.186.224.24","TLSv1.3","2143","Client Hello (SNI=spclient.wg.spotify.com)"
"11","0.020768715","35.186.224.24","192.168.129.132","TCP","60","443  >  34816 [ACK] Seq=1 Ack=1461 Win=64240 Len=0"
"12","0.020768921","35.186.224.24","192.168.129.132","TCP","60","443  >  34816 [ACK] Seq=1 Ack=2090 Win=64240 Len=0"
"13","0.088665549","35.186.224.24","192.168.129.132","TLSv1.3","266","Server Hello, Change Cipher Spec, Encrypted Extensions, Finished"
"14","0.088714609","192.168.129.132","35.186.224.24","TCP","54","34816  >  443 [ACK] Seq=2090 Ack=213 Win=64028 Len=0"
"15","0.093224781","192.168.129.132","35.186.224.24","TLSv1.3","118","Change Cipher Spec, Finished"
"16","0.093661416","35.186.224.24","192.168.129.132","TCP","60","443  >  34816 [ACK] Seq=213 Ack=2154 Win=64240 Len=0"
"17","0.093801347","192.168.129.132","35.186.224.24","HTTP2","146","Magic, SETTINGS[0], WINDOW_UPDATE[0]"
"18","0.094090707","35.186.224.24","192.168.129.132","TCP","60","443  >  34816 [ACK] Seq=213 Ack=2246 Win=64240 Len=0"
"19","0.094463868","192.168.129.132","35.186.224.24","HTTP2","509","HEADERS[1]: OPTIONS /user-verification-service/v0/verifications/?market=from_token"
"20","0.094697376","35.186.224.24","192.168.129.132","TCP","60","443  >  34816 [ACK] Seq=213 Ack=2701 Win=64240 Len=0"
