"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","192.168.129.132","142.250.75.174","TLSv1.2","3632","Application Data"
"2","0.000741296","142.250.75.174","192.168.129.132","TCP","60","443  >  34372 [ACK] Seq=1 Ack=1461 Win=64240 Len=0"
"3","0.000741499","142.250.75.174","192.168.129.132","TCP","60","443  >  34372 [ACK] Seq=1 Ack=2921 Win=64240 Len=0"
"4","0.001063445","142.250.75.174","192.168.129.132","TCP","60","443  >  34372 [ACK] Seq=1 Ack=3579 Win=64240 Len=0"
"5","0.078796064","142.250.75.174","192.168.129.132","TLSv1.2","194","Application Data, Application Data, Application Data"
"6","0.080171762","192.168.129.132","142.250.75.174","TLSv1.2","93","Application Data"
"7","0.080823750","142.250.75.174","192.168.129.132","TCP","60","443  >  34372 [ACK] Seq=141 Ack=3618 Win=64240 Len=0"
"8","0.206742689","192.168.129.132","142.250.75.174","TLSv1.2","3168","Application Data"
"9","0.206997303","192.168.129.132","142.250.75.174","TLSv1.2","3844","Application Data"
"10","0.207306097","142.250.75.174","192.168.129.132","TCP","60","443  >  34372 [ACK] Seq=141 Ack=5078 Win=64240 Len=0"
"11","0.207306401","142.250.75.174","192.168.129.132","TCP","60","443  >  34372 [ACK] Seq=141 Ack=6538 Win=64240 Len=0"
"12","0.207306441","142.250.75.174","192.168.129.132","TCP","60","443  >  34372 [ACK] Seq=141 Ack=6732 Win=64240 Len=0"
"13","0.207646952","142.250.75.174","192.168.129.132","TCP","60","443  >  34372 [ACK] Seq=141 Ack=8192 Win=64240 Len=0"
"14","0.207647275","142.250.75.174","192.168.129.132","TCP","60","443  >  34372 [ACK] Seq=141 Ack=9652 Win=64240 Len=0"
"15","0.207647370","142.250.75.174","192.168.129.132","TCP","60","443  >  34372 [ACK] Seq=141 Ack=10522 Win=64240 Len=0"
"16","0.317242296","142.250.75.174","192.168.129.132","TLSv1.2","1899","Application Data, Application Data"
"17","0.317680320","192.168.129.132","142.250.75.174","TCP","54","34372  >  443 [ACK] Seq=10522 Ack=1986 Win=65535 Len=0"
"18","0.319090169","142.250.75.174","192.168.129.132","TLSv1.2","124","Application Data, Application Data"
"19","0.320050740","192.168.129.132","142.250.75.174","TLSv1.2","93","Application Data"
"20","0.320723616","142.250.75.174","192.168.129.132","TCP","60","443  >  34372 [ACK] Seq=2056 Ack=10561 Win=64240 Len=0"
"21","0.323638522","192.168.129.132","142.250.75.174","TLSv1.2","89","Application Data"
"22","0.323995769","142.250.75.174","192.168.129.132","TCP","60","443  >  34372 [ACK] Seq=2056 Ack=10596 Win=64240 Len=0"
"23","0.410918512","192.168.129.132","142.250.75.98","TLSv1.2","126","Application Data"
"24","0.411642844","142.250.75.98","192.168.129.132","TCP","60","443  >  33106 [ACK] Seq=1 Ack=73 Win=64240 Len=0"
"25","0.474373659","142.250.75.98","192.168.129.132","TLSv1.2","451","Application Data, Application Data"
"26","0.477822630","142.250.75.98","192.168.129.132","TLSv1.2","124","Application Data, Application Data"
"27","0.478291201","192.168.129.132","142.250.75.98","TCP","54","33106  >  443 [ACK] Seq=73 Ack=468 Win=65535 Len=0"
"28","0.478865148","192.168.129.132","142.250.75.98","TLSv1.2","93","Application Data"
"29","0.479351944","142.250.75.98","192.168.129.132","TCP","60","443  >  33106 [ACK] Seq=468 Ack=112 Win=64240 Len=0"
"30","0.532921627","192.168.129.132","142.250.75.174","TLSv1.2","3219","Application Data"
"31","0.533296871","192.168.129.132","142.250.75.174","TLSv1.2","6335","Application Data"
"32","0.533724486","142.250.75.174","192.168.129.132","TCP","60","443  >  34372 [ACK] Seq=2056 Ack=12056 Win=64240 Len=0"
"33","0.533724798","142.250.75.174","192.168.129.132","TCP","60","443  >  34372 [ACK] Seq=2056 Ack=13516 Win=64240 Len=0"
"34","0.533724843","142.250.75.174","192.168.129.132","TCP","60","443  >  34372 [ACK] Seq=2056 Ack=13761 Win=64240 Len=0"
"35","0.535566783","142.250.75.174","192.168.129.132","TCP","60","443  >  34372 [ACK] Seq=2056 Ack=15221 Win=64240 Len=0"
"36","0.535567271","142.250.75.174","192.168.129.132","TCP","60","443  >  34372 [ACK] Seq=2056 Ack=16681 Win=64240 Len=0"
"37","0.535567305","142.250.75.174","192.168.129.132","TCP","60","443  >  34372 [ACK] Seq=2056 Ack=18141 Win=64240 Len=0"
"38","0.535567339","142.250.75.174","192.168.129.132","TCP","60","443  >  34372 [ACK] Seq=2056 Ack=19601 Win=64240 Len=0"
"39","0.535567372","142.250.75.174","192.168.129.132","TCP","60","443  >  34372 [ACK] Seq=2056 Ack=20042 Win=64240 Len=0"
"40","0.595539536","192.168.129.132","142.250.75.174","TLSv1.2","3219","Application Data"
"41","0.595997438","192.168.129.132","142.250.75.174","TLSv1.2","1402","Application Data"
"42","0.596191472","142.250.75.174","192.168.129.132","TCP","60","443  >  34372 [ACK] Seq=2056 Ack=21502 Win=64240 Len=0"
"43","0.596191691","142.250.75.174","192.168.129.132","TCP","60","443  >  34372 [ACK] Seq=2056 Ack=22962 Win=64240 Len=0"
"44","0.596191728","142.250.75.174","192.168.129.132","TCP","60","443  >  34372 [ACK] Seq=2056 Ack=23207 Win=64240 Len=0"
"45","0.596191762","142.250.75.174","192.168.129.132","TCP","60","443  >  34372 [ACK] Seq=2056 Ack=24555 Win=64240 Len=0"
"46","0.617759836","142.250.75.174","192.168.129.132","TLSv1.2","714","Application Data, Application Data, Application Data, Application Data"
"47","0.619055822","192.168.129.132","142.250.75.174","TLSv1.2","93","Application Data"
"48","0.619683313","142.250.75.174","192.168.129.132","TCP","60","443  >  34372 [ACK] Seq=2716 Ack=24594 Win=64240 Len=0"
"49","0.672561332","142.250.75.174","192.168.129.132","TLSv1.2","714","Application Data, Application Data, Application Data, Application Data"
"50","0.673231091","192.168.129.132","142.250.75.174","TLSv1.2","93","Application Data"
"51","0.673623645","142.250.75.174","192.168.129.132","TCP","60","443  >  34372 [ACK] Seq=3376 Ack=24633 Win=64240 Len=0"
"52","0.817136990","192.168.129.132","142.250.75.99","TLSv1.2","157","Application Data"
"53","0.817539769","142.250.75.99","192.168.129.132","TCP","60","443  >  56278 [ACK] Seq=1 Ack=104 Win=64240 Len=0"
"54","0.817958632","192.168.129.132","142.250.75.99","TLSv1.2","93","Application Data"
"55","0.819037680","142.250.75.99","192.168.129.132","TCP","60","443  >  56278 [ACK] Seq=1 Ack=143 Win=64240 Len=0"
"56","0.825029968","142.250.75.99","192.168.129.132","TLSv1.2","424","Application Data, Application Data, Application Data"
"57","0.825101801","192.168.129.132","142.250.75.99","TCP","54","56278  >  443 [ACK] Seq=143 Ack=371 Win=65535 Len=0"
"58","0.826877114","192.168.129.132","142.250.75.99","TLSv1.2","93","Application Data"
"59","0.827351736","142.250.75.99","192.168.129.132","TLSv1.2","93","Application Data"
